,Age,Male,Female,Total
1,0,1844000,1718000,3562000
2,1,1947000,1913000,3860000
3,2,1933000,1808000,3741000
4,3,1986000,1906000,3892000
5,4,1954000,1932000,3886000
6,5,1981000,1944000,3925000
7,6,2065000,1998000,4063000
8,7,2075000,1947000,4022000
9,8,2057000,1983000,4040000
10,9,2055000,1952000,4007000
11,10,2045000,2014000,4059000
12,11,2071000,1934000,4005000
13,12,2112000,2062000,4174000
14,13,2097000,1981000,4078000
15,14,2108000,2033000,4141000
16,15,2135000,2038000,4173000
17,16,2168000,2137000,4305000
18,17,2196000,2166000,4362000
19,18,2006000,1931000,3937000
20,19,1967000,1913000,3880000
21,20,2155000,2100000,4255000
22,21,2128000,2096000,4224000
23,22,2008000,2136000,4144000
24,23,2177000,2053000,4230000
25,24,2102000,2067000,4169000
26,25,2350000,2018000,4368000
27,26,2318000,2273000,4591000
28,27,2163000,2138000,4301000
29,28,2391000,2299000,4690000
30,29,2262000,2380000,4642000
31,30,2462000,2364000,4826000
32,31,2306000,2181000,4487000
33,32,2331000,2276000,4607000
34,33,2174000,2323000,4497000
35,34,2079000,2195000,4274000
36,35,2250000,2236000,4486000
37,36,2172000,2218000,4390000
38,37,2040000,2151000,4191000
39,38,2213000,2155000,4368000
40,39,2067000,2104000,4171000
41,40,2121000,2174000,4295000
42,41,2175000,2124000,4299000
43,42,1999000,2106000,4105000
44,43,1908000,1908000,3816000
45,44,1869000,2012000,3881000
46,45,1958000,1963000,3921000
47,46,1959000,1934000,3893000
48,47,1887000,1931000,3818000
49,48,1837000,1959000,3796000
50,49,1881000,2097000,3978000
51,50,2129000,2338000,4467000
52,51,2022000,2059000,4081000
53,52,1955000,2091000,4046000
54,53,1888000,2012000,3900000
55,54,1909000,1872000,3781000
56,55,1888000,2068000,3956000
57,56,2011000,2102000,4113000
58,57,2061000,2267000,4328000
59,58,1992000,2221000,4213000
60,59,1978000,2095000,4073000
61,60,2054000,2300000,4354000
62,61,2043000,2281000,4324000
63,62,1998000,2161000,4159000
64,63,2017000,2162000,4179000
65,64,1993000,2086000,4079000
66,65,1802000,1929000,3731000
67,66,1812000,2070000,3882000
68,67,1700000,1918000,3618000
69,68,1673000,1831000,3504000
70,69,1575000,1852000,3427000
71,70,1499000,1719000,3218000
72,71,1372000,1695000,3067000
73,72,1370000,1629000,2999000
74,73,1312000,1581000,2893000
75,74,1228000,1475000,2703000
76,75,1049000,1196000,2245000
77,76,1030000,1158000,2188000
78,77,1003000,1100000,2103000
79,78,913000,1007000,1920000
80,79,738000,979000,1717000
81,80-84 ,2827000,3805000,6632000
82,85 over,2318000,3674000,5992000
